,Name,Age,Nationality,Overall,Potential,Club,Preferred Position,CAM,CB,CDM,CF,CM,LAM,LB,LCB,LCM,LDM,LF,LM,LS,LW,LWB,RAM,RB,RCB,RCM,RDM,RF,RM,RS,RW,RWB,ST
464,D. Brewster,19,England,60,73,Chesterfield,ST,57.0,36.0,39.0,59.0,50.0,57.0,43.0,36.0,50.0,39.0,59.0,57.0,59.0,58.0,44.0,57.0,43.0,36.0,50.0,39.0,59.0,57.0,59.0,58.0,44.0,59.0
465,C. Doidge,24,Wales,60,64,Forest Green,ST,52.0,40.0,39.0,56.0,46.0,52.0,40.0,40.0,46.0,39.0,56.0,53.0,59.0,54.0,41.0,52.0,40.0,40.0,46.0,39.0,56.0,53.0,59.0,54.0,41.0,59.0
466,Yoon Dong Min,28,Korea Republic,60,60,Sangju Sangmu FC,ST,57.0,42.0,46.0,59.0,53.0,57.0,49.0,42.0,53.0,46.0,59.0,60.0,59.0,60.0,51.0,57.0,49.0,42.0,53.0,46.0,59.0,60.0,59.0,60.0,51.0,59.0
467,A. Amadi-Holloway,24,Wales,60,65,Oldham Athletic,ST,56.0,56.0,54.0,57.0,54.0,56.0,53.0,56.0,54.0,54.0,57.0,56.0,59.0,56.0,53.0,56.0,53.0,56.0,54.0,54.0,57.0,56.0,59.0,56.0,53.0,59.0
468,M. Mandron,22,Scotland,60,70,Colchester United,ST,54.0,37.0,38.0,57.0,47.0,54.0,37.0,37.0,47.0,38.0,57.0,53.0,59.0,54.0,39.0,54.0,37.0,37.0,47.0,38.0,57.0,53.0,59.0,54.0,39.0,59.0
469,U. Tavares,24,Mexico,60,65,Patriotas Boyacá FC,ST,56.0,37.0,39.0,58.0,51.0,56.0,40.0,37.0,51.0,39.0,58.0,56.0,59.0,57.0,42.0,56.0,40.0,37.0,51.0,39.0,58.0,56.0,59.0,57.0,42.0,59.0
470,M. Richter,19,Germany,60,73,FC Augsburg,ST,58.0,33.0,39.0,59.0,52.0,58.0,38.0,33.0,52.0,39.0,59.0,56.0,59.0,58.0,40.0,58.0,38.0,33.0,52.0,39.0,59.0,56.0,59.0,58.0,40.0,59.0
471,G. Miller,18,England,60,67,Middlesbrough,ST,54.0,35.0,36.0,57.0,47.0,54.0,39.0,35.0,47.0,36.0,57.0,53.0,59.0,56.0,39.0,54.0,39.0,35.0,47.0,36.0,57.0,53.0,59.0,56.0,39.0,59.0
472,A. Badji,19,Senegal,60,70,Djurgårdens IF,ST,55.0,41.0,39.0,58.0,47.0,55.0,39.0,41.0,47.0,39.0,58.0,54.0,59.0,56.0,39.0,55.0,39.0,41.0,47.0,39.0,58.0,54.0,59.0,56.0,39.0,59.0
473,A. Asante,24,Netherlands,60,65,Grimsby Town,ST,54.0,40.0,40.0,56.0,47.0,54.0,42.0,40.0,47.0,40.0,56.0,54.0,59.0,56.0,43.0,54.0,42.0,40.0,47.0,40.0,56.0,54.0,59.0,56.0,43.0,59.0
474,Joel Arimany,19,Spain,60,74,Málaga CF,ST,55.0,35.0,36.0,57.0,48.0,55.0,36.0,35.0,48.0,36.0,57.0,53.0,59.0,56.0,37.0,55.0,36.0,35.0,48.0,36.0,57.0,53.0,59.0,56.0,37.0,59.0
475,S. Moussa,29,Tunisia,60,60,Dundee FC,ST,52.0,39.0,38.0,56.0,46.0,52.0,37.0,39.0,46.0,38.0,56.0,52.0,59.0,53.0,38.0,52.0,37.0,39.0,46.0,38.0,56.0,52.0,59.0,53.0,38.0,59.0
476,L. Vido,20,Italy,60,73,Atalanta,ST,57.0,36.0,38.0,58.0,50.0,57.0,37.0,36.0,50.0,38.0,58.0,55.0,59.0,57.0,39.0,57.0,37.0,36.0,50.0,38.0,58.0,55.0,59.0,57.0,39.0,59.0
477,L. Mesa,20,Argentina,60,72,Argentinos Juniors,ST,55.0,44.0,45.0,56.0,52.0,55.0,44.0,44.0,52.0,45.0,56.0,53.0,59.0,54.0,44.0,55.0,44.0,44.0,52.0,45.0,56.0,53.0,59.0,54.0,44.0,59.0
478,R. Murray,25,Republic of Ireland,60,63,Galway United,ST,56.0,36.0,38.0,59.0,48.0,56.0,44.0,36.0,48.0,38.0,59.0,59.0,59.0,61.0,46.0,56.0,44.0,36.0,48.0,38.0,59.0,59.0,59.0,61.0,46.0,59.0
479,S. McCartan,23,Northern Ireland,60,65,Bradford City,ST,59.0,34.0,40.0,60.0,52.0,59.0,41.0,34.0,52.0,40.0,60.0,61.0,60.0,61.0,44.0,59.0,41.0,34.0,52.0,40.0,60.0,61.0,60.0,61.0,44.0,60.0
480,S. McCoulsky,20,England,60,72,Newport County,ST,53.0,36.0,35.0,57.0,44.0,53.0,38.0,36.0,44.0,35.0,57.0,54.0,59.0,56.0,39.0,53.0,38.0,36.0,44.0,35.0,57.0,54.0,59.0,56.0,39.0,59.0
481,U. Sen,19,Germany,60,75,Holstein Kiel,ST,54.0,33.0,35.0,57.0,45.0,54.0,38.0,33.0,45.0,35.0,57.0,54.0,59.0,57.0,40.0,54.0,38.0,33.0,45.0,35.0,57.0,54.0,59.0,57.0,40.0,59.0
482,D. Corcoran,28,Republic of Ireland,60,60,Bohemian FC,ST,57.0,39.0,42.0,58.0,52.0,57.0,40.0,39.0,52.0,42.0,58.0,54.0,59.0,56.0,42.0,57.0,40.0,39.0,52.0,42.0,58.0,54.0,59.0,56.0,42.0,59.0
483,Darío Poveda,20,Spain,60,73,Villarreal CF,ST,56.0,31.0,35.0,58.0,49.0,56.0,35.0,31.0,49.0,35.0,58.0,55.0,59.0,57.0,38.0,56.0,35.0,31.0,49.0,35.0,58.0,55.0,59.0,57.0,38.0,59.0
484,M. Sylla,17,France,60,83,AS Monaco,ST,57.0,33.0,37.0,59.0,50.0,57.0,38.0,33.0,50.0,37.0,59.0,57.0,59.0,58.0,40.0,57.0,38.0,33.0,50.0,37.0,59.0,57.0,59.0,58.0,40.0,59.0
485,F. Diabaté,21,Mali,60,68,GFC Ajaccio,ST,59.0,32.0,35.0,61.0,50.0,59.0,40.0,32.0,50.0,35.0,61.0,60.0,59.0,63.0,43.0,59.0,40.0,32.0,50.0,35.0,61.0,60.0,59.0,63.0,43.0,59.0
486,M. Bringaker,20,Norway,60,67,Viking FK,ST,58.0,41.0,44.0,60.0,53.0,58.0,46.0,41.0,53.0,44.0,60.0,59.0,59.0,60.0,47.0,58.0,46.0,41.0,53.0,44.0,60.0,59.0,59.0,60.0,47.0,59.0
487,G. Zecca,19,Italy,60,69,Cremonese,ST,58.0,39.0,44.0,59.0,53.0,58.0,45.0,39.0,53.0,44.0,59.0,60.0,59.0,60.0,47.0,58.0,45.0,39.0,53.0,44.0,59.0,60.0,59.0,60.0,47.0,59.0
488,L. Norris,24,England,60,63,Swindon Town,ST,53.0,37.0,39.0,56.0,47.0,53.0,39.0,37.0,47.0,39.0,56.0,54.0,59.0,55.0,41.0,53.0,39.0,37.0,47.0,39.0,56.0,54.0,59.0,55.0,41.0,59.0
489,R. Al Shammari,20,Saudi Arabia,60,70,Al Shabab,ST,57.0,31.0,34.0,59.0,48.0,57.0,37.0,31.0,48.0,34.0,59.0,55.0,59.0,58.0,39.0,57.0,37.0,31.0,48.0,34.0,59.0,55.0,59.0,58.0,39.0,59.0
490,W. de la Rosa,24,Colombia,60,66,Deportivo Pasto,ST,57.0,31.0,35.0,60.0,48.0,57.0,40.0,31.0,48.0,35.0,60.0,58.0,59.0,60.0,42.0,57.0,40.0,31.0,48.0,35.0,60.0,58.0,59.0,60.0,42.0,59.0
491,J. Pohl,21,Denmark,60,71,Aalborg BK,ST,57.0,43.0,45.0,59.0,52.0,57.0,46.0,43.0,52.0,45.0,59.0,59.0,59.0,59.0,47.0,57.0,46.0,43.0,52.0,45.0,59.0,59.0,59.0,59.0,47.0,59.0
492,J. Maja,18,England,60,78,Sunderland,ST,57.0,35.0,39.0,59.0,51.0,57.0,40.0,35.0,51.0,39.0,59.0,57.0,59.0,58.0,42.0,57.0,40.0,35.0,51.0,39.0,59.0,57.0,59.0,58.0,42.0,59.0
493,A. Evans,18,England,60,76,Everton,ST,59.0,46.0,51.0,59.0,57.0,59.0,53.0,46.0,57.0,51.0,59.0,60.0,56.0,60.0,54.0,59.0,53.0,46.0,57.0,51.0,59.0,60.0,56.0,60.0,54.0,56.0
494,G. Guessan,24,Ivory Coast,60,65,Viking FK,ST,52.0,39.0,37.0,55.0,44.0,52.0,38.0,39.0,44.0,37.0,55.0,51.0,59.0,53.0,39.0,52.0,38.0,39.0,44.0,37.0,55.0,51.0,59.0,53.0,39.0,59.0
495,R. Patterson,32,Northern Ireland,60,60,Derry City,ST,54.0,40.0,42.0,56.0,51.0,54.0,39.0,40.0,51.0,42.0,56.0,53.0,59.0,54.0,41.0,54.0,39.0,40.0,51.0,42.0,56.0,53.0,59.0,54.0,41.0,59.0
496,A. Köse,20,Turkey,60,73,Fenerbahçe SK,ST,55.0,34.0,36.0,57.0,48.0,55.0,36.0,34.0,48.0,36.0,57.0,53.0,59.0,55.0,38.0,55.0,36.0,34.0,48.0,36.0,57.0,53.0,59.0,55.0,38.0,59.0
497,K. Angielski,21,Poland,60,66,Piast Gliwice,ST,56.0,34.0,39.0,58.0,51.0,56.0,41.0,34.0,51.0,39.0,58.0,56.0,59.0,58.0,43.0,56.0,41.0,34.0,51.0,39.0,58.0,56.0,59.0,58.0,43.0,59.0
498,R. Moon,20,South Africa,60,72,Kaizer Chiefs,ST,57.0,30.0,33.0,60.0,48.0,57.0,36.0,30.0,48.0,33.0,60.0,56.0,59.0,58.0,38.0,57.0,36.0,30.0,48.0,33.0,60.0,56.0,59.0,58.0,38.0,59.0
499,H. Goya,23,Japan,60,66,Gamba Osaka,ST,56.0,39.0,40.0,57.0,49.0,56.0,41.0,39.0,49.0,40.0,57.0,54.0,59.0,56.0,43.0,56.0,41.0,39.0,49.0,40.0,57.0,54.0,59.0,56.0,43.0,59.0
500,D. Vanzeir,19,Belgium,60,73,KRC Genk,ST,59.0,31.0,37.0,59.0,51.0,59.0,38.0,31.0,51.0,37.0,59.0,59.0,57.0,60.0,41.0,59.0,38.0,31.0,51.0,37.0,59.0,59.0,57.0,60.0,41.0,57.0
501,S. Demhasaj,21,Switzerland,61,71,FC Luzern,ST,53.0,34.0,36.0,57.0,47.0,53.0,37.0,34.0,47.0,36.0,57.0,52.0,60.0,54.0,38.0,53.0,37.0,34.0,47.0,36.0,57.0,52.0,60.0,54.0,38.0,60.0
502,J. Sinclair,20,England,61,72,Watford,ST,59.0,45.0,48.0,60.0,54.0,59.0,49.0,45.0,54.0,48.0,60.0,60.0,60.0,61.0,52.0,59.0,49.0,45.0,54.0,48.0,60.0,60.0,60.0,61.0,52.0,60.0
503,Rômulo,25,Brazil,61,65,Hammarby IF,ST,58.0,35.0,39.0,60.0,52.0,58.0,38.0,35.0,52.0,39.0,60.0,57.0,60.0,58.0,40.0,58.0,38.0,35.0,52.0,39.0,60.0,57.0,60.0,58.0,40.0,60.0
504,I. Chaïbi,20,France,61,77,AS Monaco,ST,58.0,36.0,40.0,59.0,51.0,58.0,40.0,36.0,51.0,40.0,59.0,58.0,60.0,59.0,42.0,58.0,40.0,36.0,51.0,40.0,59.0,58.0,60.0,59.0,42.0,60.0
505,M. Herrmann,20,Sweden,61,74,FC Helsingør,ST,56.0,33.0,35.0,59.0,47.0,56.0,37.0,33.0,47.0,35.0,59.0,55.0,60.0,58.0,39.0,56.0,37.0,33.0,47.0,35.0,59.0,55.0,60.0,58.0,39.0,60.0
506,J. Lewis,20,United States,61,75,New York City Football Club,ST,58.0,36.0,40.0,60.0,51.0,58.0,41.0,36.0,51.0,40.0,60.0,59.0,59.0,61.0,44.0,58.0,41.0,36.0,51.0,40.0,60.0,59.0,59.0,61.0,44.0,59.0
507,L. Tankulic,26,Germany,61,64,Sportfreunde Lotte,ST,56.0,33.0,36.0,58.0,49.0,56.0,38.0,33.0,49.0,36.0,58.0,56.0,60.0,57.0,40.0,56.0,38.0,33.0,49.0,36.0,58.0,56.0,60.0,57.0,40.0,60.0
508,T. Robinson,28,Jamaica,61,61,Southend United,ST,60.0,46.0,50.0,61.0,55.0,60.0,52.0,46.0,55.0,50.0,61.0,60.0,60.0,61.0,54.0,60.0,52.0,46.0,55.0,50.0,61.0,60.0,60.0,61.0,54.0,60.0
509,L. Mothiba,21,South Africa,61,70,Valenciennes FC,ST,56.0,36.0,39.0,58.0,50.0,56.0,39.0,36.0,50.0,39.0,58.0,56.0,60.0,57.0,42.0,56.0,39.0,36.0,50.0,39.0,58.0,56.0,60.0,57.0,42.0,60.0
510,A. Sikoev,22,Russia,61,71,Arsenal Tula,ST,54.0,37.0,36.0,57.0,47.0,54.0,37.0,37.0,47.0,36.0,57.0,53.0,60.0,55.0,39.0,54.0,37.0,37.0,47.0,36.0,57.0,53.0,60.0,55.0,39.0,60.0
511,K. Zohi,20,Ivory Coast,61,71,RC Strasbourg,ST,56.0,33.0,36.0,59.0,48.0,56.0,40.0,33.0,48.0,36.0,59.0,56.0,60.0,58.0,42.0,56.0,40.0,33.0,48.0,36.0,59.0,56.0,60.0,58.0,42.0,60.0
512,N. Kühn,17,Germany,61,83,RB Leipzig,ST,61.0,33.0,39.0,62.0,53.0,61.0,41.0,33.0,53.0,39.0,62.0,61.0,60.0,63.0,44.0,61.0,41.0,33.0,53.0,39.0,62.0,61.0,60.0,63.0,44.0,60.0
513,M. Suleymanov,17,Russia,61,79,FC Krasnodar,ST,59.0,37.0,41.0,61.0,51.0,59.0,44.0,37.0,51.0,41.0,61.0,59.0,60.0,61.0,46.0,59.0,44.0,37.0,51.0,41.0,61.0,59.0,60.0,61.0,46.0,60.0
514,F. Lenci,33,Argentina,61,61,Argentinos Juniors,ST,57.0,49.0,51.0,59.0,55.0,57.0,50.0,49.0,55.0,51.0,59.0,58.0,60.0,58.0,51.0,57.0,50.0,49.0,55.0,51.0,59.0,58.0,60.0,58.0,51.0,60.0
515,J. Stockley,23,England,61,68,Exeter City,ST,51.0,43.0,41.0,55.0,45.0,51.0,40.0,43.0,45.0,41.0,55.0,51.0,60.0,53.0,41.0,51.0,40.0,43.0,45.0,41.0,55.0,51.0,60.0,53.0,41.0,60.0
516,B. Moussiti-oko,22,Congo,61,67,Le Havre AC,ST,50.0,41.0,38.0,54.0,44.0,50.0,38.0,41.0,44.0,38.0,54.0,48.0,60.0,50.0,38.0,50.0,38.0,41.0,44.0,38.0,54.0,48.0,60.0,50.0,38.0,60.0
517,D. Wright,32,England,61,61,Cheltenham Town,ST,51.0,44.0,43.0,55.0,48.0,51.0,41.0,44.0,48.0,43.0,55.0,51.0,60.0,52.0,42.0,51.0,41.0,44.0,48.0,43.0,55.0,51.0,60.0,52.0,42.0,60.0
518,M. Smith,25,England,61,65,Bury,ST,57.0,44.0,45.0,59.0,52.0,57.0,46.0,44.0,52.0,45.0,59.0,59.0,60.0,58.0,48.0,57.0,46.0,44.0,52.0,45.0,59.0,59.0,60.0,58.0,48.0,60.0
519,K. Saito,28,Japan,61,61,Júbilo Iwata,ST,55.0,35.0,37.0,57.0,48.0,55.0,37.0,35.0,48.0,37.0,57.0,54.0,60.0,56.0,38.0,55.0,37.0,35.0,48.0,37.0,57.0,54.0,60.0,56.0,38.0,60.0
520,A. Fontana,21,Argentina,61,71,Banfield,ST,57.0,33.0,36.0,59.0,50.0,57.0,37.0,33.0,50.0,36.0,59.0,56.0,60.0,57.0,39.0,57.0,37.0,33.0,50.0,36.0,59.0,56.0,60.0,57.0,39.0,60.0
521,Y. Mamilonne,25,France,61,65,US Quevilly-Rouen,ST,55.0,41.0,41.0,56.0,49.0,55.0,39.0,41.0,49.0,41.0,56.0,54.0,60.0,55.0,40.0,55.0,39.0,41.0,49.0,41.0,56.0,54.0,60.0,55.0,40.0,60.0
522,Y. Segawa,23,Japan,61,68,Omiya Ardija,ST,59.0,37.0,43.0,59.0,53.0,59.0,45.0,37.0,53.0,43.0,59.0,61.0,58.0,61.0,47.0,59.0,45.0,37.0,53.0,43.0,59.0,61.0,58.0,61.0,47.0,58.0
523,E. Demirović,19,Bosnia Herzegovina,61,75,Deportivo Alavés,ST,52.0,40.0,39.0,56.0,46.0,52.0,39.0,40.0,46.0,39.0,56.0,51.0,60.0,54.0,40.0,52.0,39.0,40.0,46.0,39.0,56.0,51.0,60.0,54.0,40.0,60.0
524,E. Letlotlo,21,South Africa,61,68,Kaizer Chiefs,ST,59.0,34.0,39.0,61.0,52.0,59.0,42.0,34.0,52.0,39.0,61.0,60.0,60.0,62.0,45.0,59.0,42.0,34.0,52.0,39.0,61.0,60.0,60.0,62.0,45.0,60.0
525,A. Gilliead,21,England,61,75,Bradford City,ST,59.0,37.0,42.0,59.0,53.0,59.0,43.0,37.0,53.0,42.0,59.0,60.0,58.0,60.0,46.0,59.0,43.0,37.0,53.0,42.0,59.0,60.0,58.0,60.0,46.0,58.0
526,P. Tietz,19,Germany,61,72,Eintracht Braunschweig,ST,58.0,45.0,46.0,59.0,54.0,58.0,43.0,45.0,54.0,46.0,59.0,55.0,60.0,56.0,44.0,58.0,43.0,45.0,54.0,46.0,59.0,55.0,60.0,56.0,44.0,60.0
527,J. Hiwula,22,England,61,70,Fleetwood Town,ST,61.0,38.0,41.0,62.0,53.0,61.0,44.0,38.0,53.0,41.0,62.0,59.0,62.0,61.0,45.0,61.0,44.0,38.0,53.0,41.0,62.0,59.0,62.0,61.0,45.0,62.0
528,D. Okereke,19,Nigeria,61,73,La Spezia,ST,56.0,34.0,36.0,59.0,48.0,56.0,39.0,34.0,48.0,36.0,59.0,56.0,60.0,58.0,41.0,56.0,39.0,34.0,48.0,36.0,59.0,56.0,60.0,58.0,41.0,60.0
529,M. Ramsland,24,Norway,61,68,Sogndal,ST,54.0,47.0,46.0,57.0,50.0,54.0,46.0,47.0,50.0,46.0,57.0,54.0,60.0,55.0,46.0,54.0,46.0,47.0,50.0,46.0,57.0,54.0,60.0,55.0,46.0,60.0
530,Kim Jong Min,24,Korea Republic,61,65,Suwon Samsung Bluewings,ST,54.0,35.0,34.0,57.0,45.0,54.0,36.0,35.0,45.0,34.0,57.0,53.0,60.0,56.0,37.0,54.0,36.0,35.0,45.0,34.0,57.0,53.0,60.0,56.0,37.0,60.0
531,E. Huth,20,Germany,61,73,Rot-Weiß Erfurt,ST,54.0,34.0,35.0,58.0,46.0,54.0,38.0,34.0,46.0,35.0,58.0,55.0,60.0,57.0,39.0,54.0,38.0,34.0,46.0,35.0,58.0,55.0,60.0,57.0,39.0,60.0
532,Roni,23,Spain,61,68,Real Oviedo,ST,53.0,39.0,39.0,56.0,47.0,53.0,38.0,39.0,47.0,39.0,56.0,52.0,60.0,54.0,39.0,53.0,38.0,39.0,47.0,39.0,56.0,52.0,60.0,54.0,39.0,60.0
533,E. Eze,20,Nigeria,61,72,SK Sturm Graz,ST,58.0,35.0,38.0,60.0,51.0,58.0,39.0,35.0,51.0,38.0,60.0,59.0,60.0,60.0,41.0,58.0,39.0,35.0,51.0,38.0,60.0,59.0,60.0,60.0,41.0,60.0
534,R. Singh,27,India,61,61,,ST,54.0,36.0,37.0,57.0,48.0,54.0,37.0,36.0,48.0,37.0,57.0,53.0,60.0,55.0,39.0,54.0,37.0,36.0,48.0,37.0,57.0,53.0,60.0,55.0,39.0,60.0
535,J. Porsan-Clemente,19,France,61,71,Montpellier Hérault SC,ST,58.0,36.0,39.0,59.0,52.0,58.0,39.0,36.0,52.0,39.0,59.0,57.0,60.0,58.0,40.0,58.0,39.0,36.0,52.0,39.0,59.0,57.0,60.0,58.0,40.0,60.0
536,K. Huisman,22,Netherlands,61,67,Heracles Almelo,ST,56.0,35.0,37.0,59.0,50.0,56.0,38.0,35.0,50.0,37.0,59.0,55.0,60.0,57.0,40.0,56.0,38.0,35.0,50.0,37.0,59.0,55.0,60.0,57.0,40.0,60.0
537,S. Stolze,22,Germany,61,69, SSV Jahn Regensburg,ST,58.0,37.0,40.0,60.0,51.0,58.0,42.0,37.0,51.0,40.0,60.0,58.0,60.0,60.0,44.0,58.0,42.0,37.0,51.0,40.0,60.0,58.0,60.0,60.0,44.0,60.0
538,R. Hardie,20,Scotland,61,78,Rangers,ST,57.0,34.0,38.0,60.0,50.0,57.0,42.0,34.0,50.0,38.0,60.0,59.0,60.0,60.0,44.0,57.0,42.0,34.0,50.0,38.0,60.0,59.0,60.0,60.0,44.0,60.0
539,A. Björkebaum,29,Sweden,61,61,IK Sirius,ST,57.0,42.0,45.0,57.0,54.0,57.0,40.0,42.0,54.0,45.0,57.0,54.0,60.0,55.0,42.0,57.0,40.0,42.0,54.0,45.0,57.0,54.0,60.0,55.0,42.0,60.0
540,T. Vestenický,21,Slovakia,61,71,Cracovia,ST,62.0,52.0,53.0,63.0,57.0,62.0,52.0,52.0,57.0,53.0,63.0,60.0,62.0,61.0,52.0,62.0,52.0,52.0,57.0,53.0,63.0,60.0,62.0,61.0,52.0,62.0
541,K. Świderski,20,Poland,61,70,Jagiellonia Białystok,ST,59.0,38.0,44.0,60.0,55.0,59.0,43.0,38.0,55.0,44.0,60.0,59.0,60.0,60.0,46.0,59.0,43.0,38.0,55.0,44.0,60.0,59.0,60.0,60.0,46.0,60.0
542,G. Álvarez,25,Bolivia,61,64,,ST,53.0,29.0,33.0,57.0,46.0,53.0,38.0,29.0,46.0,33.0,57.0,54.0,60.0,56.0,40.0,53.0,38.0,29.0,46.0,33.0,57.0,54.0,60.0,56.0,40.0,60.0
543,A. Montalto,29,Italy,61,61,Ternana,ST,54.0,41.0,43.0,57.0,51.0,54.0,42.0,41.0,51.0,43.0,57.0,54.0,60.0,55.0,43.0,54.0,42.0,41.0,51.0,43.0,57.0,54.0,60.0,55.0,43.0,60.0
544,D. Ceter,19,Colombia,61,78,Independiente Santa Fe,ST,50.0,39.0,36.0,55.0,44.0,50.0,36.0,39.0,44.0,36.0,55.0,48.0,60.0,50.0,36.0,50.0,36.0,39.0,44.0,36.0,55.0,48.0,60.0,50.0,36.0,60.0
545,J. Tell,20,France,61,70,Stade Rennais FC,ST,56.0,42.0,42.0,58.0,51.0,56.0,42.0,42.0,51.0,42.0,58.0,55.0,60.0,56.0,43.0,56.0,42.0,42.0,51.0,42.0,58.0,55.0,60.0,56.0,43.0,60.0
546,E. Rueda,21,Argentina,61,69,Argentinos Juniors,ST,59.0,40.0,44.0,60.0,53.0,59.0,47.0,40.0,53.0,44.0,60.0,61.0,59.0,61.0,50.0,59.0,47.0,40.0,53.0,44.0,60.0,61.0,59.0,61.0,50.0,59.0
547,R. Hepburn-Murphy,18,England,61,76,Aston Villa,ST,59.0,35.0,40.0,61.0,52.0,59.0,43.0,35.0,52.0,40.0,61.0,59.0,60.0,61.0,45.0,59.0,43.0,35.0,52.0,40.0,61.0,59.0,60.0,61.0,45.0,60.0
548,S. Sow,20,Netherlands,61,69,FC Utrecht,ST,58.0,36.0,38.0,60.0,50.0,58.0,39.0,36.0,50.0,38.0,60.0,57.0,60.0,59.0,41.0,58.0,39.0,36.0,50.0,38.0,60.0,57.0,60.0,59.0,41.0,60.0
549,R. Migone,21,Argentina,61,73,Club Atlético Patronato,ST,61.0,35.0,41.0,62.0,54.0,61.0,41.0,35.0,54.0,41.0,62.0,62.0,60.0,62.0,45.0,61.0,41.0,35.0,54.0,41.0,62.0,62.0,60.0,62.0,45.0,60.0
550,G. Gori,18,Italy,61,78,Fiorentina,ST,55.0,37.0,39.0,58.0,50.0,55.0,38.0,37.0,50.0,39.0,58.0,53.0,60.0,55.0,40.0,55.0,38.0,37.0,50.0,39.0,58.0,53.0,60.0,55.0,40.0,60.0
551,J. Ebobisse,20,United States,61,77,Portland Timbers,ST,58.0,38.0,42.0,59.0,52.0,58.0,43.0,38.0,52.0,42.0,59.0,58.0,60.0,58.0,45.0,58.0,43.0,38.0,52.0,42.0,59.0,58.0,60.0,58.0,45.0,60.0
552,Q. N'Gakoutou,23,Central African Rep.,61,66,AS Monaco,ST,59.0,32.0,36.0,60.0,50.0,59.0,36.0,32.0,50.0,36.0,60.0,56.0,60.0,58.0,38.0,59.0,36.0,32.0,50.0,36.0,60.0,56.0,60.0,58.0,38.0,60.0
553,J. Dibirgadzhiev,20,Russia,61,70,FC Anzhi Makhachkala,ST,56.0,40.0,40.0,58.0,49.0,56.0,41.0,40.0,49.0,40.0,58.0,55.0,60.0,56.0,42.0,56.0,41.0,40.0,49.0,40.0,58.0,55.0,60.0,56.0,42.0,60.0
554,C. Stockton,23,England,61,69,Heart of Midlothian,ST,55.0,37.0,37.0,57.0,48.0,55.0,39.0,37.0,48.0,37.0,57.0,54.0,60.0,56.0,40.0,55.0,39.0,37.0,48.0,37.0,57.0,54.0,60.0,56.0,40.0,60.0
555,F. Al Johani,25,Saudi Arabia,61,64,Al Qadisiyah,ST,57.0,36.0,39.0,60.0,49.0,57.0,42.0,36.0,49.0,39.0,60.0,60.0,62.0,61.0,45.0,57.0,42.0,36.0,49.0,39.0,60.0,60.0,62.0,61.0,45.0,62.0
556,I. Bah,18,Belgium,61,76,KV Oostende,ST,58.0,35.0,37.0,60.0,49.0,58.0,39.0,35.0,49.0,37.0,60.0,58.0,60.0,60.0,41.0,58.0,39.0,35.0,49.0,37.0,60.0,58.0,60.0,60.0,41.0,60.0
557,T. Conechny,19,Argentina,61,77,San Lorenzo de Almagro,ST,57.0,32.0,35.0,60.0,48.0,57.0,40.0,32.0,48.0,35.0,60.0,57.0,60.0,59.0,41.0,57.0,40.0,32.0,48.0,35.0,60.0,57.0,60.0,59.0,41.0,60.0
558,P. Wilson,20,Sweden,61,71,GIF Sundsvall,ST,57.0,34.0,37.0,59.0,49.0,57.0,40.0,34.0,49.0,37.0,59.0,57.0,60.0,59.0,42.0,57.0,40.0,34.0,49.0,37.0,59.0,57.0,60.0,59.0,42.0,60.0
559,S. Otsuki,28,Japan,61,61,Vissel Kobe,ST,59.0,44.0,46.0,61.0,53.0,59.0,45.0,44.0,53.0,46.0,61.0,57.0,63.0,59.0,47.0,59.0,45.0,44.0,53.0,46.0,61.0,57.0,63.0,59.0,47.0,63.0
560,T. Figueroa,25,Argentina,61,66,Belgrano de Córdoba,ST,54.0,43.0,43.0,57.0,50.0,54.0,40.0,43.0,50.0,43.0,57.0,52.0,60.0,53.0,42.0,54.0,40.0,43.0,50.0,43.0,57.0,52.0,60.0,53.0,42.0,60.0
561,M. Al Bishi,29,Saudi Arabia,61,61,Al Fayha,ST,57.0,40.0,41.0,59.0,50.0,57.0,42.0,40.0,50.0,41.0,59.0,57.0,60.0,59.0,43.0,57.0,42.0,40.0,50.0,41.0,59.0,57.0,60.0,59.0,43.0,60.0
562,L. Walters,22,England,61,70,Nottingham Forest,ST,56.0,35.0,37.0,58.0,48.0,56.0,41.0,35.0,48.0,37.0,58.0,58.0,60.0,59.0,43.0,56.0,41.0,35.0,48.0,37.0,58.0,58.0,60.0,59.0,43.0,60.0
563,I. Ganago,18,Cameroon,61,77,OGC Nice,ST,55.0,34.0,36.0,58.0,48.0,55.0,37.0,34.0,48.0,36.0,58.0,54.0,60.0,56.0,39.0,55.0,37.0,34.0,48.0,36.0,58.0,54.0,60.0,56.0,39.0,60.0
564,O. Hawkins,25,England,61,66,Portsmouth,ST,52.0,38.0,37.0,56.0,46.0,52.0,38.0,38.0,46.0,37.0,56.0,51.0,60.0,52.0,38.0,52.0,38.0,38.0,46.0,37.0,56.0,51.0,60.0,52.0,38.0,60.0
565,L. Contin,21,Argentina,61,68,Gimnasia y Esgrima La Plata,ST,54.0,37.0,39.0,56.0,50.0,54.0,37.0,37.0,50.0,39.0,56.0,54.0,60.0,55.0,39.0,54.0,37.0,37.0,50.0,39.0,56.0,54.0,60.0,55.0,39.0,60.0
